ref,text
32,Хоч з мосту та в воду!
32,Хоч живий у яму лізь!
32,"Дожились, що ні свитки, ні чобіт,"
32,Аж скриня тріщить з наготи.
32,"В убогого тоді неділя, коли сорочка біла."
32,"Одна на мені, а друга в пранні."
32,"Держись, Хома,-- іде зима!"
32,"Лиха тому зима, в кого кожуха нема, чоботи ледащо і їсти нема що! '"
32,"Вербові дрова, а козиний кожух, то випре й дух."
32,"Іде зима, а кожуха нема."
32,"Як настане лютий, то спитається, чи вдягнені, узуті. , Ні шорстинки у дворі: голий, як бубоні"
33,Голого легко голити.
33,"Голий, як турецький святий."
33,"Голе, аж ребра світяться."
33,"Голий, як мати народила."
33,Голому й на сіні мулько.
33,"Голий, як палець."
33,"| Голий, як пень."
33,"З голого, як з святого, не візьмеш нічого."
33,"Голий підперезався, і все на ньому -- хоч в дорогу! А От розбагатіла: поли деру та спину латаю!"
33,"""Поли крає, а плечі латає. '"
33,"Багатий! Куди не кинь, то все латкою наверх."
33,"Бідному куди не кинь, то все догори діркою."
33,"Куди не оберни, то все дірки зверху."
34,"Вітром підбито, а морозом підшито,"
34,Тягни рядно на двох одно. і
34,"Хоч грошей нема, та в одежу вбився: роз- крий поли, то й ноги голі."
34,"Родився без сорочки, так і вмру без штанів,"
34,"Прожив, як у ступі стовк: ні смаку, ні знаку. , і"
34,"Дожився: штани одні, а сорочок ще менші"
34,"Штани -- як решето, а чоботи роти пороззявляли."
34,Бідному сапоги усе добрі до ноги.
34,"Одна нога взута, другая роззута, а якби третя була -- не знаю, як би й пішла!"
34,"На свиті стільки лат, як на селі хат. Багатий на лати та на дрібні сльози."
34,"Тільки й має, що на собі."
34,"У чоботях іде, а сліди босі."
35,Була в мене шапка пояркова: сім год по яру валялась- вона .мені на мою голову дісталась.
35,"Наїлась біди, напилась води."
35,Хліб та вода -- бідного їда.
35,Хліб та каша -- то їда наша.
35,"Борщ, каша та ще кваша -- вся їжа наша."
35,Борщ та капуста -- хата не пуста.
35,"Хліб -- батько, вода -- мати."
35,Без хліба -- не до обіда.
35,"Аби хліб, а зуби будуть."
35,"Лісу - хоч бийся, води --хоч мийся, а"
35,хліба - хоч плач.
35,"Без солі, без хліба -- худая бесіда."
35,"Живемо, хліб жуємо, а іноді ще й присолюємо."
35,"Багач не відає, що бідний обідає. й"
36,"-. Не замісиш густо, як у коморі пусто."
36,У вбогого щодня піст. .
36,Від дешевої рибки не побіжиш стрибки.
36,Риба -- не хліб: ситий не будеш. !
36,"Риба -- вода, ягода -- трава, а хліб -- всьому голова."
36,"Коли є хліба край, то й під вербою рай."
36,"Як хліба ні куска, то і в хаті тоска."
36,"Не красна хата углами, а красна пирогами."
36,Не до. жиру - буть би живу!
36,"Живемо -- часом з квасом, порою з водою."
36,Навчить лихо з маком коржі їстні
36,"Галушка, лемішка -- хлібові перемішка."
36,"Один з. сошкою, а семеро з ложкою,"
37,"Ще то не біда, як у просі лобода, а тоді біда, як і проса нема!"
37,"Ні хліба куска, ні солі дробка, ні страви ложки, ні води корця!"
37,Вари воду --вода й буде! |
37,З попелу галушки не вдаються до юшки.
37,Юшка кишки переїла.
37,Від кулешу і ніг не поколишу.
37,"Поки жнемо -- доти Й їмо, а як скосили -то все й поїли. |"
37,"Молотив цілий день, а віяти нічого,"
37,"Ні в горшку, ні в мішку!"
37,Нема й ока запорошить!
37,Прийшов нестаток -- забрав остаток.
38,"Борщ такий, що за туманом і дітей не ВИДНО. (с"
38,"Ніщо їсти, ніде сісти!"
38,"Попросили б і сісти, так нічого їсти. Такий убогий, що й кошеняти з запічку нічим виманити!"
38,"Стільки має, як голодний за зубами!"
38,Їсти -- хоч свої пальці гризти.
38,"Голод -- не тітка, а лютої мачухи лютіший."
38,І ріски в роті не було! с. .
38,"Так виголодався, що й не забалакаєї."
39,"Голодний з'їсть і холодне,"
39,Голодній курці все просо на думці.
39,Голодному й опеньки м'ясо.
39,Голод києм не відженеш.
39,Вижене голод на холод.
39,"Прийшов гість, та на голу кість."
39,"Спасибі за полудень, що наївся та й голодені"
39,"Добре пісні співати пообідавши. | Прийшлась ложка до рота, та їсти чортма чого! ' Обмок--як вовк, обкис--як лис, голоден-як собака! й | ' Бідак живе обачно: раз на тиждень обідає, та й то не смачно."
39,"Бідний тоді їсть курку, як сам хворий або курка слаба. |"
40,"Лихо наше -- ячна каша: з'їв би і такої, та нема ніякої!"
40,"Що ж робить? Хіба круту варить, бо рідкої ні з чого."
40,Добра каша! Крупина за крупиною ганяється з дрючиною.
40,"Густенька каша, та не наша, а наш несолений куліш - як хочеш, так його і їж!"
40,"Дурень кашу зварить, як пшоно є!"
40,"Сип, жінко, перцю -- нехай нам хоч раз на віку гірко буде на серцю! |"
41,"Коли ласувать, так ласувать: бий, жінко, ціле яйце в борщ! ,"
41,«Що ваші роблять?» -- «Пообідали та хліб їдять».
41,«Що татуньо роблять?» - «А що ж? По-
41,обідали та й хліб їдять».
41,"«Тату, ідіть обідати!» -- «А хліб є?» -- «Не-"
41,"ма!» -- «Ну, я не голодний»."
41,"Вже й дрова, і вода,-- коли б сир і мука, то вареників би наварила."
41,"Казав дід бабі: «Якби сир та масло, то вареників наварили б, тільки що ж -- борошна нема»."
41,За одним присідом вечеря з обідом.
41,"«Що вечеряв?» -- «Скрутні: покрутився, покрутився та й спати ліг»:"
41,«Що варили на вечерю?» - «Шару юшку. Пошарите та й спать поляжете».
41,«Моя мати між двома хлібами вмерла».
42,"Нема що їсти, нема пити, немає й роду, щоб поговорити."
42,"«Є» --слово, як мед, солодке; «немає» -слово, як полин, гірке."
42,"Гірка горілка, та й життя не солодке. І"
42,"До неба високо, до царя далеко, а до шинку близько."
42,Бідна душа без гроша.
42,"У кого грошей нема, тому й світ, як тюр-"
42,"У його грошей, як у жаби пір'я."
42,У кишені вітер гуляє.
42,"Пив би пиво, та в кишені диво."
42,"Де тонко--там і рветься, де благе-- там і дереться. Загряз в борги по самі вуха."
42,"Краще без вечері лягати, та без боргів вставати, |"
43,"Як батька чужими пирогами поминать, то лучче без поминок. ."
43,Без позички жити -- не тужити.
43,Станеш позичати -- будеш бідувати.
43,"Був голосок -- та позички з'їли. Голод мутить, а борг крутить. ше"
43,Позичка на боржнику верхом їздить.
43,|В борг береш -- собі на шию ярмо кладеш.
43,"Позика -- не штука, та віддача -- мука."
43,"Мій батько нікому не винний: у одного позичає, а другому повертає."
43,"Хата чужая; як свекруха лихая,"
43,Бодай ніхто не діждав в чужім кутку сидіти.
44,"«Кіндрате! Де твоя хата?» - «Літом на галах, а зимою під скиртою»."
44,"Не в тім річ, що в хаті піч, а біда, як нема!"
44,"Така хата тепла, що спотієш дрижачи."
44,"Так холодно, що якби не вмів дрижати, то змерз би."
44,"Холодно в хаті, що й собаку не вдержиш."
44,"Змерз-як пес, змок--як вовк, скис-як лис. ."
44,"Живеш, як у решеті: відкіль вітер не дме, то повна хата холоду."
44,"Моя хата небом крита, землею підбита, віт- ! ром загороджена. |"
44,"Ї комашки мають подушки, а бідняк -- у голови кулак. Хто нічого не має, того ніхто не знає."
44,У бідного і приятелі мруть. І Гал--галявина в лісі.
45,"Багатого за стіл саджають, а убогого і так випроводжають."
45,"Коли бідний, то забуде й брат рідний."
45,Кожні ворота для бідного заперті.
45,Бідному ніхто не подарує.
45,"Маємось, як горох при дорозі: хто не хоче, той не скубне."
45,Шерсть стрижуть і шкуру деруть.
45,"З кого ремінь деруть, а з кого лій топлять!"
45,"Хоч латане, аби не в людей хватане."
45,"Запросив, як за рідного батька,"
45,"Легше десятьом подарувати, чим в одного попросити."
45,"Гіркий світ: тато осліп, а діти помацки ходять. ."
45,Цілий вік з торбою не лаявся.
45,Гірш всього -- при старості бідність. |
46,"Радий старець і тому, що пошив нову торбу."
46,Моє господарство -- в міх та й на плечі!
46,"А, здорові, діди! Чи не маєте біди? То в мене купіть або й так візьміть."
46,"Батько був середній хазяїн: торби по боках, а сам посередині."
46,"Так воно прилучилося, що щастя за біду зачепилося. . Де щастя упало, там і приятелів мало."
46,"Хіба ревуть воли, як ясла повні?"
46,Недостатки гонять з хатки. |
46,З розкоші не йдуть у міхоноші.
46,На свої руки найду всюди муки.
46,"Аби шия, а ярмо найдеться. :"
46,"Розживемся, в пастухи наймемся -- все село нам буде винне."
47,Не вжалуєш батька в наймах!
47,"Голод -- не тітка, найми -- не свій брат."
47,Як найнявся -- так продався!
47,"Найнявсь -- як продавсь: скажуть дверима скрипати, то скрипай."
47,Наймит не по своїй волі ходить.
47,"Слуга на відслузі, як пес на мотузі."
47,"Життя вільне, як собаці на прив'язі!"
47,"Не думав, не гадав, як в біду попав,"
47,"Тікав від диму, та впав у вогонь."
47,"Від вогню біжу, а в воду скачу!"
47,"Така честь, як собаці в ярмарок: або всюди ганяють, або хазяїн до воза прив'яже,"
47,"Наймають до телят, а роби, що велять!"
47,Вали на сірого -- сірий повезе!
48,"Ганяють, як солоного зайця!"
48,"Вертиться, як в окропі муха!"
48,За чужою роботою й світу не бачить.
48,Панської роботи не переробиш.
48,Роботи до самої суботи. і
48,Працюєм до сьомого поту.
48,"Працює, як чорний віл."
48,"Не стільки набувся, скільки нагнувся."
48,"Хто в службі не бував, той і нужди не ви-"
48,"Гнись, не гнись, а в голоблі. становись!"
48,"Не довернешся --б'ють, перевернешся -б'ють."
48,За свій труд попав у хомут.
48,Од ціпа в спині сіпа.
49,"Бідному у багатого жить--або плакать, або тужить. ,"
49,Б'ють і плакать не дають.
49,"Як тут говорити, коли не дають і рота розтулити!"
49,"З хазяйської правди наймитові очі. лізуть. Нема гірше, як бурлаці: куди не попхнуть, туди й поточиться."
49,«Не з одної печі хліб їв.
49,"Ходячи наїсться, а стоячи виспиться."
49,"| Що за сон, як у головах шапка!"
49,Служив у дуки -- натерпівся муки.
49,"Моя зірко, служить панам гірко!"
49,Розірвись надвоє -- скажуть: чому не начетверо?
49,"Хто служить, той тужить."
49,"Ї голодно, і холодно, і додому далеко."
50,"Однією рукою воли поганяє, а другою сльози утирає. . ! Хоч у воду подивлюся на свою вроду!"
50,"Не літа зсушили тіло, а від праці. помарніло."
50,Чужа шия --не своя: зломиться -- друга буде. |
50,"Плата, як у ката!"
50,"Добрий давалець: роботи дає. зверхом, а харч -- видавцем."
50,"Як приймали, то й сала давали, а як при-. йняли, то й хліба не дали."
50,"Бить та лаять є кому, а годувать -- так нікому!"
50,"Ні хліба, ні солі, і сам бурлак у неволі."
50,"Працюй, як коняка, а їж, як Рябко!"
50,"Дали кісточку: хоч зараз гризи, хоч на завтра положи! , | З'їж півбіди та напийся води!"
50,"Хоч їж, хоч дивись, а щоб ціле було і неголодний буві"
51,"о Добре нас годують: черпак юшки, дві галушки та й ті розплилися!"
51,За такої страви ляжеш вздовж лави!
51,"На цій роботі не забагатієш, а згорбатієш."
51,"Роби, роби, та й нічого не доробишся."
51,"Обіцяв хазяїн дати, тільки велів заждати."
51,"Рвали б вас ворони, як ви мою працю рвете!"
51,"Отож доробився: ані чобіт, ні халяв! |"
51,"Двом панам служить, а сорочки не має."
51,"Робити -- то є що, а заробити -- то ніде."
51,Ходили три дні та й виходили злидні.
51,"Робиш, робиш -- ні за тобою, ні перед то-"
51,У дуки служила -- болячку заробила.
51,Заробила Гапка бісового батька.
51,"Обмок--як вовк, обкис-як лис, а змерз-як пес, та нічого не заробив!"
52,Заробив на сіль до оселедця!
52,Заробив води до хліба!
52,"Заробив три вирви в шию, а четверту -навздогінці!"
52,"«За що найнявся?»--«Сорок грошей; справний харч і босий дохід, дають рано води, а ввечері пити». ."
52,"Забудь ласощі -- паслін і цибулю, а за свою : гірку працю візьми під ніс дулю!"
52,"Та допіру робота: ціле життя роби, а на старість милостиньку проси! й"
52,Заробітки -- бодай не діждали наші дітки!
52,"Доробився хліба, аж зійшов на діда."
52,"Робила цілий вік панам, та, мабуть, ляжу,. як кістка, гола. : ."
52,Заробив у пана плату: з чотирьох дощок хату!
52,"Наймитові з хазяїном не брататися,"
53,"Ремесло на плечах не висить і хліба не просить, а хліб дає. | :"
53,"Ремесло на плечах не носить, а трапиться, що й пригодиться."
53,"Ремесло не коромисло -- плеч не відтягне, саме прогодує."
53,"Що б то був за швець, коли б усім на один копил чоботи шив!"
53,У ремісника золота рука.
53,Хороший плотник і до коліна кіл заструже.
53,На всі руки майстер!
53,"(Не буде з швачки багачки, а з ткача -- багача!"
53,"Якби шевцеві не правило, то б його скривило."
53,"Від сокири не збагатієш, а згорбатієш!"
53,"Колісник по шию в трісках, по коліна в бор-"
54,"Не той пиво п'є, хто варить! ' На те він і кравець, щоб подертий жупан . носити!"
54,"Пани все бачать -- не бачать, як робітники горюють та плачуть. -"
54,"Золото миєм, а самі голодні виєм."
54,"Робітники потіють, а пани з того жиріють."
54,Вугільний пласт щастя не дасть.
54,"Хто на шахті не бував, той і горя не знав."
54,В шахту спускаєшся -- з світом прощаєшся.
54,Вугілля добувати -- живим не бувати. :
54,Санки з вугіллям потягаєш -- шахту-каторгу узнаєш.
54,"Санки, кайло і лопата -- ось вся «техніка» проклята,"
54,"Гіркий, як шахтарська доля!"
55,М сум
55,"з ПРОТИ ЦАРІВ, ПАНІВ, БАГАТІЇВ, КУПЦІВ"
55,"Бідний піт ллє, а багатий його кров п'є."
55,"Бідняки потіють, а пани з того жиріють."
55,"Цар далеко бачить, а мало думає. Царі -псарі: жалю не знають, людей за псів вважають. І Цар і трут на дурняк живуть: інші працюють, а вони мед їдять. Цар правду у листах пише, а на ділі чортом дише. у"
55,"Цар --як кабан, а цариця -як печериця."
56,За царя нема й сухаря.
56,"Цар у державі, як кіт у коморі: кого піймав, того і з'їв. я"
56,"Якби той грайцар! потиснув, то з нього кров потекла б."
56,"Всяк знає, як багач дбає: не своїм горбом, а чужим трудом."
56,"Багач--як собака: на свому лежить, а хвіст перекинув на чуже."
56,"Багач чуже загрібає, бо своєму ліку не знає."
56,"Багач все нарікає, що мало має."
56,"Багач норовить, як би бідного з ніг збить."
56,"Бідний до бідних рідний, а багатий нікому не радий. !"
56,"Багатого й серп голить, а убогого й бритва не хоче."
56,"Панщина--як гадюка: життя наше отруїла. І Дрібна австрійська монета,"
57,"Їде мужик на панщину -- сонечко не сходить, повертається додому, як місяць заходить."
57,"На панщині конопельки тіпаєм, а прийдем додому - голі плечі латаєм."
57,"Хустки поперем, як три дні панщини відбудем."
57,"От тобі, бабо, й Юр'їв день !. Білі ручки чужу роботу люблять."
57,Сама земля панові не родить -- мужик робить. '
57,"Бідняк робить, а багачеві родить."
57,Селянськими мозолями пани живуть.
57,Ото налигають та й робити мужика заставляють. і
57,"Якби не хлоп та не віл, то би пан не жив. і Прислів'я виникло в зв'язку з скасуванням в б ХМ ст, права кріпаків переходити раз на рік в день Юрія (26 листопада за ст. ст.) від одного пана до іншого."
58,"Мужик землю засіває, а пан хліб поїдає."
58,"Пан не жне, не косить, а жупан носить."
58,"Пану й в будень свято, а в мужика і будень однято,"
58,"У багатого живіт росте, а у бідного -- горб від роботи."
58,Бідний з праці рветься -- багатому черево дметься.
58,"Щоб панам так легко вмирати, як мужикові орати! ;"
58,"Багатство дме, а бідність удвоє гне."
58,При панській власті нема чого у рот покласти. .
58,"Панам косять, а собі хліба просять."
58,"Гарно було бути панським: ходячи їсти, си-"
58,дячи спати -- бодай не казати!
58,"Хліб у пана мужик косить, жінка його сно- | пи носить, а прийдуть вони додому -- дітки їсти просять. |"
58,"Багач їсть калач, а бідний і хліба не має."
59,"о Бідний мужик і хліба не їсть, а багатий ! мужика з'їсть. |"
59,Багач би око вийняв за кавалок хліба.
59,"Багач так має, аж йому горлом пхає, а бідняк лиш слинку ковтає."
59,"Багач шукає апетиту, а бідний хліба."
59,"Одному аж горлом вертає, а другий з голоду здихає. . | Поки багатий стухне, то убогий опухне."
59,"Ситий голодному не товариш,"
59,Ситий голодного не розуміє.
59,Багатий бідного ніколи не розуміє.
59,"Пшениця -- то хлопська мука, мельницька біда, а панська їда."
59,"Багатому пшениця, а вбогому полова."
59,"Багатому дбає, а в себе й сорочки не має."
59,"Багачеві прибиль, а біднякові загибель,"
60,"Гроші йдуть до багатого, а злидні до бідного."
60,"Качиного зоба не накормиш, а панської кишені не наповниш."
60,"Багатому й під гору вода тече, а бідному і в долині треба криницю копати."
60,"Багачеві вітер гроші несе, а бідному половою очі засипає."
60,"У багатого й теля з телям, а в убогого одна корова, та й та ялівка."
60,"Багатому чорт діти колише, а вбогий і няньки не найде."
60,"Пан скаче, а хлоп плаче."
60,"Пан все баче, -- не баче, як бідняк плаче."
60,"Як бідний плаче, то ніхто не бачить, а як багатий скривиться, то всяк дивиться."
60,Панські шати -- наші лати.
60,Через золото сльози ллються.
