ref,text
85,"- Як гробки, так у попа яйця й п'ятаки."
85,"Ото сваряться, як піп з дяком на великдень за копійку та за крашанку."
86,Попові та котові нема й лучче: /:-
86,"Нема кому так добре на світі, як попові та котові: обидва лежать та хліб дурно їдять."
86,"Попова ласка для людей, як нічна пастка для мишей."
86,Піп ніколи не тратиться - все йому дурниця.
86,У владики брюхо велике.
86,"Попа одним обідом не нагодуєш, -"
86,"Піп ледачий -- любить борщ гарячий; мужик же голодний -- з'їсть і Холодний. Голодного нагодуєш, а попа ні. |"
86,"Не годен попа наситити, як дірявого міха."
87,Знехотя піп порося з'їв.
87,"Піп --як комар, де сяде--там і п'є. Казав піп, що гусей не їсть, а повна стеля кісточок. У попа піст, а в зубах курячий хвіст."
87,"Тікайте, кури, піп іде!"
87,"Піп каже: «Подай, господи, що високо; а що низько, то й сам візьму»."
87,"Бійся попа, як дідько ладану! Двома кінцями божий піст: попові -- сало, мирянам -- риб'ячий хвіст. що і"
87,"- Піп живе з. вівтаря, а писар з каламаря."
87,"З попа пользи, як з козла молока,"
87,"Як ти багатий, то тобі вільно і в церкві свистати, |"
88,Піп і дяк -- один будяк.
88,"оДяк -- що будяк: хоч трошки, а вколе."
88,"Будяки, як попи і дяки,- не сій, а вони родяться. |"
88,"Перо страшне не в гусака, а вже тоді, як у дяка."
88,"Не ляпай язиком, як дяк псалтирем."
88,"Пес сліпий, а дяк старий -- то всеодно: хоч не бачить, але бреше."
88,Ченці і бога в монастирях продають.
88,Чорний клобук святості не придає;
88,""" Чернецька злоба до гроба."
88,"-- Чернець святці. розгортає, а на Молодиць поглядає. , шИ - Коли ігумен за. чарку, то братія за ковші. У святих отців не знайдеш кінців; (7"
88,". Остання у попа жінка, та й то неправда."
89,"Одні дідьки бояться хреста, другі -- батога."
89,"Гріх у міх, спаса в торбу, а духа в морду."
89,"Плюнь, небоже, на «святий боже!»"
89,Святі хлібом не нагодують. 3000. Святий Микола не поставить кола.
89,"Коли життя не гоже, то церква й бог не по. може. |"
89,"Піп не поможе, як життя: негоже."
89,"«Дай, боже» -- не поможе. |"
89,"Що то за пекло, коли тепло, а піди в рай та за дрова дбай! й -"
89,"Богу не молись, а до берега гребись,"
89,Молись не молись - все одно бог не почує.
89,Копа переможе й попа.
89,На бога сподівався -- без штанів зостався.
90,"Пан-біг що ліпше, то собі забирає. '"
90,«Не годиться богу молиться -- будем горшки накривать.
90,"«Господи, прости! Був я на страсті, купив свічечку за копієчку, понюхав - медком пахне, так я й з'їв."
90,"Прости, боже, цей раз та ще десять разів, а там побачимо."
90,"«Коли ви будете говіти?» -- «Тоді, як хліба не стане». ."
90,У бідного щодня піст.
90,Голод не знає посту.
90,Піст -- не міст: об'їхати можна.
90,"Бодай вас бог любив, а мене молодиці."
90,"Не йде дівка до церкви богу молиться, а йде на хлопців дивиться. -"
90,"Куди ходім, то ходім, -- аби не до церкви."
90,"Не думав бути в церкві, так собаки загнали."
91,"Верни, Грицю, соб, бо в церкву заїхали."
91,"- Коли не прийду до церкви, то все паски святять. ще"
91,"Ану, синки, за люльки, хай паска постоє, а порося чорт не візьме."
91,"Нуте, синки, за люльки, паска най постоїть, а порося чорт не візьме, бо воно свячене."
91,"Поки бога змалюєш --так чорта з'їси,"
91,"Гвалт, миряни, у попа ладану не стало!"
91,"Свисти, попе, -- церква горить."
91,"Наш піп в халепу влип: пішов у ризах до молодиці, а повернувся у спідниці. 1 Так казали богомази, малюючи богів,"
91,сю кет
92,е (г с -х
92,"""має А ин ж"
92,"о ПРОТИ СОЦІАЛЬНОГО ГНІТУ: І НЕСПРАВЕДЛИВОСТІ, о"
92,"Правда в постолах, а кривда в чоботях. Пани правдою кепкують, тому в світі й панують."
92,"Хто побреше, той на плечах понесе, а хто правду повість, той і не попоїсть."
92,"Як будеш з правдою кохаться, то не будеш і паном зваться."
93,"Коли золото випливає, тоді правда утопає. ."
93,"Там, де великі вікна,-- багато світла, а мало правди."
93,"з"" Стільки правди, як у решеті води!"
93,Панська правда всюди однакова: на мужицькому горбі.
93,"Пани правди не скажуть, а розумному рот зав'яжуть."
93,"Мужича правда колюча, а панська на всі боки гнуча."
93,"Хто бреше, тому легше, а хто правдує, той бідує. ,"
93,Багачева правда гірше брехні.
93,"Пан не любить правди, як пес мила."
93,Правда очі коле!
93,"Була колись правда, та іржава."
93,"Всяк правду знає, та не всяк про неї дбає."
93,"Кожний правду знає, але не кожний її розуміє."
94,"Правду поховаєш, та й сам з ями не вилі-"
94,"Не шукай правди в других, коли в тебе її нема."
94,"Правду кожний хвалить, але не кожний її . любить."
94,"Велике діло гроші, а ще більше -- правда!"
94,"Правда ясніша від сонця, та й її з свічкою шукають!"
94,"Біда на світі, коли нема правди!"
94,"Правда - край порога, а неправда -- біля стола."
94,Правда та кривда -- як вогонь та вода.
94,"о Правда втопилась, а кривда наверх сплила."
94,Правда на дні моря спочиває.
94,Правда світліша сонця!
94,Правди не сховаєш! |
94,Ніде правди діти.
95,Засип правду хоч золотом -- вона випливе доверху.
95,"Топчи правду в калюжу, а вона все чиста буде."
95,"Ліпше правда у болоті, як неправда у золоті."
95,"Правда і з дна моря виринає, а неправда потопає."
95,- Правда ї з дна морського виринає сухою.
95,"Правда і в огні не горить, і в воді не тоне!"
95,Правда і в морі не втоне!
95,"Правда, як олива,- наверх вийде."
95,"Хоч чоловік убогий, та слово його чисте!"
95,"Хоч голий, та правий."
95,"Хоч у кишені ні копійки, зате душа, як дзеркало!"
95,"Гроші можуть много, а правда -- все."
95,"Хто з правдою зрідниться, той і грому не боїться. :"
96,"Правда, як гостра коса."
96,Правда суду не боїться.
96,"Що правда, то не гріх."
96,"По правді живи, по правді й умреш!"
96,"По правді роби, по правді й буде!"
96,По правді роби--доброго кінця сподівайся!
96,"За правду не сердися, а здійми шапку та вклонися."
96,"Хто сумління не має, той правди не знає."
96,"Хто чисте сумління має, той спокійно спать лягає."
96,"З честю підеш через світ, а без честі ані до сусід."
96,Правда кривду переважить!
96,Кривда людська боком вилізе!
97,"Той дає раду, хто знає правду."
97,"Добра та рада, де щирая правда."
97,Щира правда всюди куток найде.
97,Пісня до правди доходить.
97,Єдність і братерство -- велика сила.
97,Єднання -- найкраща спілка.
97,"Громада -- великий чоловік,"
97,"Більший чоловік громада, ніж пан."
97,"Що громада забажає, того й пан не поламає. '"
97,Громада як тільки плюне -- війта затопить.
97,Біда людей єдна.
97,"Сніп без перевесла -: солома,"
98,"Одна доля, одне лихо людей докупи зводить."
98,Одна бджола мало меду наносить.
98,Одним пальцем і голки не вдержиш. «
98,"Хто сам у злиднях плаче, той і других недолю бачить."
98,Один за всіх -- всі за одного!
98,Де гурт -- там і сила.
98,Гуртом і батька добре бить.
98,Гуртом можна й море загатити.
98,В гурті й каша їсться. |
98,В гурті й смерть не страшна.
98,Дружній череді вовк не страшний.
98,"Берись дружно -- не буде сутужно,"
98,"Згода будує, а незгода руйнує."
98,"Не буде добра, як між своїми вражда."
99,"Не в багатстві сила, а в чорних руках."
99,"Не той господар землі, що по ній бродить, а той, хто по ній за плугом ходить."
99,"Горда душа в убогім тілі,"
99,"Життя не має ціни, а воля дорожча за життя."
99,"Голота не боїться ні грому, ні тучі."
99,"Не лякай щуки морем, а бідного горем."
99,"Хто стає вівцею, того вовк з'їсть."
99,"Дожидай долі, не матимеш і льолі."
99,Журбою поля не перейдеш.
99,Журбою горя не здолаєш.
99,Журба сорочки не дасть.
99,"Як ти смутишся, вороги тішаться."
99,Сльозами горю не поможеш.
100,Плачем лиха не виплачеш.
100,"""Нехай ті плачуть, що нам зле зичуть."
100,Козак з біди не заплаче.
100,Козак журби не знає.
100,На козаку і рогожа пригожа. '
100,"Плачеш, плачеш та й ухнеш."
100,Куди козака доля не закине--все буде козак.
100,"Не потурай журбі - вона тебе ножем під серце, а ти їй під ніс перцю."
100,"Лихо збудеш -- всю журбу забудеш,"
100,Нужда мовчати не вміє.
100,Нужда камінь довбе.
100,Нужда закон ломить.
100,"Нужда законів не знає, а через них шагає."
101,Пан мучить -- біда учить.
101,Горе гострить розум.
101,Біда ум родить.
101,"Біда і помучить, і мудрості научить."
101,"Кому біда докучить, той ся розуму научить,"
101,"Бодай ніхто не діждав, щоб пан нами керував."
101,"Горбом, брате, лиха не вб'єш."
101,"Не шукай долі, а шукай волі."
101,"| Чоловік без волі, що кінь на припоні.,"
101,У неволі нішо не мило.
101,Аби на волю -- знайдемо долю.
101,"Ой вороги, щоб ви погибли до ноги!"
101,"Хто ся боре, тому не горе."
102,Нема меча гострішого над хлопа сильнішого.
102,"Пана в ребро -- людям добро,"
102,На всяку гадину є своя рогатина.
102,Не бити гадюки -- то не взяти її в руки.
102,"""Не все котові масляна ---буде й великий піст."
102,"Ніж у вовка милості просити, краще його відразу вбити."
102,"Ловить вовк, ловить, а як вовка спіймають - шкуру здеруть."
102,"Бере, бере вовк, та й вовка візьмуть."
102,На чужий труд ласий не будь. 6.
102,Оділлються вовкові кобилячі слізки!
102,"Щоб лиха не знати, треба своїм плугом та на своїй ниві орати."
102,"Не так воно робиться, як панам хочеться."
103,"Слухай, як пан каже, а роби, як сам знаєш."
103,"Ось тобі хомут і дуга, бо я вже більш не слуга."
103,Нехай наше лихо скаче.
103,За праве діло стій сміло.
103,"За добру справу варто добре постояти,"
103,"На те й лихо, щоб з ним битись."
103,"""Око за око, зуб за зуб."
103,"Погане дерево не зрубуй, а викорчуй. ,"
103,Собаці - собача й смерть.
103,Катюзі по заслузі. Наша пісня -- панам горе.
103,"Сам у неволі, а мрії на волі."
103,"Хто надію стратить, той жити не варгий,"
103,"Щастя скоро покидає, а надія -- ніколи!"
104,"Діждемо пори, що й панів скинемо згори!"
104,"Що буде, то буде, а козак панщини робить не буде!"
104,"Наші лати переходять панські шати,"
104,"Коли не вмер в пелюшках, то в ряднині не загину. і"
104,"Аби живі, а що голі -- то нічого: колись на» ша візьме!"
104,Хоч на три дні перед смертю волі побачить -і то полегшає! |
104,"Не завше горе на плечах сидить -- прийде час, що й звалиться! ."
104,"Діждемо пори, що й ми вилізем з нори!"
104,Колись і на моїм подвір'ї буде худоба!
104,Колись і перед моїм вікном сонечко зійде!
104,І в наше віконце загляне сонце!
104,Буде й на нашій вулиці свято!
105,"Чия відвага, того й перемога."
105,Сміливим відвага володіє.
105,Сміливість города бере!
105,Смілість бере города і кріпості!
105,"Сміливий наскок -- половина спасіння,"
105,Сміливого і куля не бере.
105,"Де відвага, там і щастя."
105,"Чи пан, чи пропав -- двічі не вмирати!"
105,"Або полковник, або покойник!"
105,"Хоч голова в кустах, хоч груди в хрестах!"
105,"То не солдат, що генералом не думає бути."
105,"То не козак, що отаманом не думає бути."
105,"Добрий козак баче, де отаман скаче."
106,Щирий козак ззаду не нападає.
106,Один солдат в полі не воїн. |
106,Голими руками не битись з ворогами!
106,Без зброї слабі й герої.
106,"Не лише силою треба боротись, а й умін-."
106,Без ради й військо гине.
106,Без доброго командира військо -- отара.
106,До булави треба й голови.
106,Кожному мила своя сторона.
106,"Нема в світі, як своя країна!"
106,За рідний край -- хоч помирай!
106,"Лучче на своїй стороні кістьми лягти, ніж на чужині слави натягти,"
107,"Свій край--як рай, а чужа країна -- як домовина."
107,За рідною землею і в небі скучно.
107,"Або будемо на Русі, або пропадемо усі!"
107,"Нуте, браття, або перемогу добути, або дома не бути!"
107,"Коли стелеться доріжка, козакові не до ліжка."
107,"Козак коли не п'є, то ворогів б'є, а все не гуляє."
107,Козацькому роду нема переводу.
107,Висипався хміль із міха та наробив ляхам лиха 7.
107,"Тікай, ляше, бо все, що на тобі, то наше!"
107,"Не вийде, пане-ляше, на ваше!"
108,"Посунься, ляше, хай русин сяде! ? ,"
108,"Знай, ляше, по Случ наше!"
108,Козача потилиця панам-ляхам не хилиться.
108,"На один копил дідько всіх ляхів строїв!"""
108,"Війна людей їсть, а кров'ю запиває."
108,Мазепа в Полтаві подавивсь галушкою.
108,"Пропав, як швед під Полтавою! Голодний француз і вороні радий."
108,"Дома лев, а на війні тхір."
108,"Ставився, як лев, а згинув, як муха!"
109,га у ХО
109,Чесне діло роби сміло!
109,Без труда нема плода. :
109,Щира праця мозолева.
109,"Роботящі руки гори вернуть. Уперта праця, все переможе."
109,Труд чоловіка кормить.
109,Будеш трудиться -- будеш кормиться.
109,Зароблена копійка краща за крадений карбованець.
110,Трудова копійка годує довіку.
110,"Як дбаєш, так і маєш."
110,Хочеш їсти калачі - не сиди на печі.
110,"Як ручки зароблять, так ніжки сходять."
110,Добре роби - добре й буде!
110,"Хто робить кревно, той ходить певно."
110,Без охоти нема роботи. |
110,"Коли є до чого жагота, то кипить в руках робота."
110,"Де руки й охота, там скора робота. ."
110,"Всього не переробиш, а прагнути треба."
110,"Не дивись на чоловіка, а на його діло."
110,"На дерево дивись, як родить, а на чоловіка, як робить. Де По роботі пізнати майстра."
111,"Хто в роботі, той і в турботі."
111,"Старається, як мурашка."
111,"Заклопотався, як квочка коло курчат."
111,". Бджола мала, а й та працює."
111,Кожна птичка своїм носиком живе.
111,Рання пташка росу оббиває.
111,"Ранні пташки росу п'ють, а пізні -- слізки ллють."
111,"Хто рано підводиться, за тим і діло водиться."
111,"Не кайся рано встати, а кайся довго спати."
111,Лежачого хліба ніде нема.
111,"Що ранком не зробиш, то вечором не здогониш. Зроби сьогодні те, що хочеш відкласти на завтра."
112,Добрий початок -- половина діла.
112,"Хто багато робив, той і багато знає."
112,"Поки не упріти, поти не уміти."
112,"Не взявшись за сокиру, хати не зробиш."
112,За один раз не зітнеш дерева враз.
112,"Десять разів продумай, а раз скажи."
112,"Сім раз відміряй, а раз відріж."
112,"Хто що вміє, то і діє."
112,"Хто що знає, тим і хліб заробляє."
112,"Хто як знає, так і тачає."
112,Без сокири не тесляр -- без голки не кравець.
112,"Добре тому ковалеві, що на обидві руки"
112,"(Того руки не болять, що уміють."
113,"Недаром говориться, що діло майстра боїться. !"
113,Діло майстра величає!
113,"Не святі горшки ліплять, а прості ЛЮДИ."
113,"Не місце красить чоловіка, а чоловік місце."
113,"Не одежа красить людину, а добрі діла."
113,На охочого робочого діло найдеться.
113,На всі руки майстер. !
113,"Не в тім хороша, що чорноброва, а в тім, що діло робить."
113,"Не ти гарна, гарні твої справи."
113,Для нашого Федота не страшна робота.
113,Маленька праця краща за велике безділля.
113,"Роботі як не сядеш на шию, то вона тобі сяде."
113,"Губами говори, а руками роби!"
114,"Той може правду говорить, хто завжди в труді горить."
114,Добра пряха на скіпку напряде.
114,"Роби до поту, а їж в охоту!"
114,"Треба нахилиться, щоб з криниці води напиться,"
114,"Щоб рибу їсти, треба в воду лізти."
114,Печені голуби не летять до губи.
114,"Праця чоловіка годує, а лінь марнує."
114,Без діла слабіє сила. |
114,Без діла жить -- тільки небо коптить.
114,"Як без діла сидіти, то можна одубіти."
114,Без роботи день роком стає.
114,"Добре діло утіха, коли ділові не поміха."
114,"Коли почав орати, то у сопілку не грати!"
115,Під лежачий камінь вода не тече.
115,"Не сокира теше, а чоловік."
115,"Що знаєш, що вмієш, те за плечима не носить."
115,Знаннів за плечима не носити.
115,"Не питай старого, а бувалого."
115,"Знає, на чім світ стоїть!"
115,"Дивиться рідко, та густо бачить."
115,"Хороший рибак по кльову мусить знати, як рибку звати. ."
115,В умілого і долото рибу ловить!
115,Старого горобця на полові не обдуриш.
115,"Де старий спотикнеться, там нехай молодий добре напнеться!"
115,Ранній пізньому не кланяється.
116,"За битого двох небитих дають, та й то не беруть."
116,"Як толова сивіє, то чоловік мудріє."
116,Розум -- скарб людини.
116,"Не краса красить, а розум."
116,Сила та розум - краса людини.
116,"Щастя без розуму -- торбина дірява. Без розуму ні сокирою рубати, ні личака в'язати. Й"
116,"Не перо пише, а розум."
116,"Око бачить далеко, а розум ще дальше."
116,І сила перед розумом никне!
116,"Сила без голови шаліє, а розум без сили мліє. |"
116,"Треба розумом надточити, де сила не візьме. """
117,Сила уму уступає!
117,"На те й голова, щоб у ній розум був."
117,"Голова не на те, щоб тільки кашкет носить!"
117,"Голова без розуму, як ліхтарня без свічки."
117,Кожна голова має свій розум.
117,"Що голова, то й розум!"
117,"Скільки голів, стільки й умів!"
117,"Яка головонька, така й розмовонька!"
117,У сусіда ума не позичиш.
117,"Людей питай, а свій розум май!"
117,"Не бажай синові багатства, а бажай розуму!"
117,Чоловік розуму вчиться цілий вік.
117,Які літа -- такий розум!
117,Усякому на старість розуму прибавиться.
118,І з сивою бородою не все розум приходить!
118,Борода не робить мудрим чоловіка.
118,Розумний батько сина спитати не соромиться.
118,"Дарма, що малий, а й старого навчить!"
118,"Молоде орля, та вище старого літає! Щоб часом дарма не блудить, чужого розуму питайся. . , о Одна розумна голова добре, а дві ще краще! о Один розум добре, а два ще краще! Хто людей питає, той і розум має."
118,"Перемагай труднощі розумом, а небезпеку -- досвідом! |"
118,"Розумний всякому дає лад,"
118,"Догана мудрого більше стоїть, як похвала дурного. | ' Кожна пригода. --до. мудрості: дорога,"
119,"""Мудра голова не дбає на лихі слова. ."
119,"Мудрий не все каже, що знає, а дурень не все знає, що каже."
119,Мудрій голові досить два слова!
119,Мова -- не полова. і
119,Пословиця вік не зломиться.
119,Розумну річ приємно й слухать.
119,"Коли нічого говорить, то краще нічого не говорить."
119,"Хто хоче багато знати, тому треба мало спати. '"
119,"Хто вчиться змолоду, не зазнає на старість голоду."
119,"Що в молодості навчишся, то на старість як знайдеш."
119,Учись змолоду -- пригодиться на старість!
119,Вік живи -- вік учись. . |
120,/Учись-- на старість буде як нахідка!.
120,Грамоти вчиться -- завжди пригодиться.
120,Навчай інших --і сам навчишся.
120,"Книга вчить, як на світі жить."
120,"Мудрим ніхто не вродився, а навчився."
120,Грамотний --видющий і на все тямущий.
120,"Вчення в щасті украшає, а в нещасті уті-"
120,"Пташка красна своїм пір'ям, а людина -своїм знанням."
120,Знання робить життя красним.
120,"Хто добре учиться, той буде й добре робить."
120,"Науки ні вода не затопить, ні огонь не спалить."
120,"""Наука в ліс не веде, а з лісу виводить."
120,"Хто знання має, той мур зламає. !"
120,"Хто грамоти вміє, той краще сіє. й"
121,"Наука не пиво: в рот не віллєш! Вченому світ, а невченому тьма."
121,"Шануй учителя, як родителя!"
121,За одного грамотного сім неграмотних дають. .
121,За одного вченого дають десять невчених.
121,"Учений іде, а неук слідом спотикається,"
121,"Незнайко на печі лежить, а знайко по дорозі біжить."
121,"Як одступищ од грамоти на аршин, то вона од тебе на сажень."
121,"Поганий той учень, що не переросте свого вчителя. :"
121,"Гарно того вчити, хто хоче все знати."
121,"Чого Івась не навчиться, того й Іван не бу-. де знати."
121,Наука не йде на бука! :
121,Аби розум - щастя буде.
122,На Новий рік прибавилось дня на заячий скік.
122,"Мороз не велик, та стоять не велить."
122,"Буває март за всіх варт. Як прийде марець, то замерзне старець."
122,"Вночі тріщить, а вдень плющить. Як буде полоз вогкий, то буде й кінь мокрий. Блискавка блисне -- й камінь трісне. До першого грому земля не розмерзається,"
123,Грім гримить - хліб буде родить.
123,"Хто в марті сіяти не зачинає, той про своє добро забуває."
123,Кинь ячмінь в болото - вбере тебе в золото.
123,"Сухий березень, теплий квітень, мокрий май -- буде хліба урожай."
123,"Сухий марець, мокрий май -- буде жито, як той гай."
123,"Березень сухий, а мокрий май -- буде каша й коровай."
123,"Як у травні дощ надворі, то восени хліб у коморі."
123,"Як прийшов май -- у землю дбай, прийшов іюнь - хоч сій, хоч плюнь!"
123,Майська роса коням краще вівса.
123,"Що може вродить камінна гора, коли в їй води нема!"
123,"Ярь!--наш отець і мати, хто не посіє, не буде збирати. 3 Весна,"
124,"Овес каже: сій мене в грязь -- буду я князь, а ячмінь каже: сій мене в болото - буду золото, а гречка каже: сій мене хоч в воду, аби впору."
124,"Сій овес в кожусі, жито в брилі."
124,"Тоді просо засівається, як сухий дуб розвивається."
124,"Посій в пору, будеш мати зерна гору."
124,Раніше посієш -- більше збереш.
124,"Хто рано посіє, рано й пожне."
124,"Ранній пар родить пшеничку, а пізній метличку."
124,Сій хліб у годину --будеш їсти кожну днину.
124,"Посієш вчасно, то і вродить рясно."
124,"Не вважай на урожай, а гречку сій."
124,"Весна днем красна, а на хліб тісна."
124,"Ластівка день починає, а соловей його кін-"
125,"Де багато пташок, там нема комашок."
125,Як багацько птиць -- не буде гусениць.
125,"Як сіно косять, то дощів не просять -- самі йдуть."
125,Як діждемо літа та нажнемо жита -- поставимо в копки та вдаримо гопки.
125,"Раді люди літу, а бджоли цвіту."
125,Раз літо родить. |
125,Двічі літа не буває. !
125,Влітку один тиждень рік годує.
125,"Літо на зиму робить,"
125,"Літо збирає, а зима з'їдає."
125,"Літом ногою копнеш, а зимою рукою візь-"
125,"Коси, коса, поки роса, а як роса додолу, то ми додому. !"
125,"Швидше жніть до обніжка, то буде пирогів діжка."
126,"Як зелене жати, то нічого не мати."
126,Садок літом --як кожух зимою.
126,"Буде той голодний, хто жнивами холодочку шукає."
126,"Чекайте, ціпи, прийде на вас осінь! |"
126,"Зима спита, де літом був. |"
126,"Коли цвіте біб, тоді тяжко на хліб, а як мак, то не так, , Сім год мак не родив і голоду не було."
126,"Як уродить метлиця, буде хліб сниться."
126,"Коли ся риба ловить, тоді хліб не родить."
126,"Улітку дощ іде не там, де ждуть, а там, де жнуть, не там, де просять, а там, де косять."
126,"Трапляється і такий год, що на день по сім погод."
126,Ї за доброї години ожидай лихої днини.
126,У петрівку день -- рік.
127,"Восени ложка води, а цебер грязі."
127,"Не вважай на врожай, а жито сій -- то хліб буде."
127,Прийшов спас--держи рукавиці про за-
127,Прийде врем'ячко -- достигне яблучко й само відпаде.
127,Восени і курчата курми будуть. -
127,Восени і горобець багатий.
127,| Осіння муха боляче кусає.
127,Пищить снігур -- скоро зима буде.
127,Синиця пищить -- зиму віщить.
127,"Сніг, завірюха, бо вже зима коло вуха."
127,"- Сумний грудень і в свято, і в будень."
127,"Зимою сонце світить, та не гріє."
127,Зимове сонце -- як вдовине серце.
128,Зимнє тепло -- як мачушине добро.
128,Зимою сонце крізь плач сміється.
128,"Як зазиміє, то й жаба оніміє."
128,"Хоч мороз і припікає, зате комарів немає."
128,"Зима біла, та не їсть снігу, а все сіно."
128,"Зима літо з'їдає, хоч перед ним і тікає."
128,"Зимою деньок, як комарів носок."
128,"Зимова днина така: сюди тень, туди тень,-та й минув день, |"
128,"Якби не зима, то б літо було довше. ."
128,"Зимою бійся вовка, а літом мухи,"
128,Зима без снігу -- літо без хліба.
128,"Багато снігу -- багато хліба. Сім погод на дворі: сіє, віє, мутить, кругить, рве, зверху ллє, знизу мете."
129,"В осінній час сім погод у нас: сіє, віє, туманіє, шумить, мете, гуде і зверху йде."
129,Хату руки держать.
129,Нова хатка -- нова гадка.
129,Без хазяїна й двір плаче.
129,"Без хазяїна двір плаче, а без хазяйки-хата."
129,Всякий двір хазяйським оком держиться.
129,Хазяйське око товар живить. :
129,"Свій глаз - алмаз, чужі руки -- круки."
129,В доброго хазяїна й соломинка не пропаде.
129,У дурного хазяїна й колесо з воза украпуть.
129,"Кепський господар десять робіт зачинає, жодної не кінчає."
129,Господаря пізнають по воротах.
130,"Привикай до господарства змолоду, то не будеш знати на старість голоду."
130,Роби на дворі -- буде й в коморі.
130,"Чого не доглянеш очима, за те відповіси плечима."
130,"Де оком не доглянеш, там калиткою доплатиш."
130,"Земля-трудівниця аж парує, та людям хліб готує."
130,На чорній землі білий хліб родить.
130,"На добрій землі що не посієш, те й вродить,"
130,"Жита ростуть, як з води йдуть."
130,"Ялова земля не нагодує, а сама їсти просить."
130,"Хліб на хліб сіяти -- ні молотити, ні віяти."
130,"Хто землю удобряє, тому й земля повертає."
130,Добре грунт угноїш - урожай потроїш.
130,"Не земля родить, а руки. -"
131,"о Кто землі дає, тому й земля дає."
131,"Дай землі, то й вона тобі дасть."
131,"Давай нивці, то й нивка дасть."
131,"Де господар добре робить, там і поле буйно родить."
131,"Де господар не ходить, там нивка не родить."
131,"Не питає добрий жнець, чи широкий загонець."
131,"Коли зораш мілко, посієш рідко, то й уроди дить дідько."
131,"Як мілко орати, краще випрягати, :"
131,"Де оре сошка, там хліба трошки."
131,Глибше орати -- більше хліба жувати.
131,"Там ся добре діє, де два оре, а третій сіє."
131,"Сій не пусто, то збереш густо."
131,"Чистим зерном сійте поле, то вродить хліб, як море, а нечистим посієте -- собі шкоди надієте!"
132,Хто хоче збирати -- мусить добре засіваги.
132,"Що посіяв, те і вродить."
132,"Яке посієш, таке і пожнеш."
132,"Що посіяв, те й пожнеш. Як посієш наволоком, то і вродить ненароком, а як посієш густо, то не буде пусто."
132,"Ану вставай, чоловіче, третій півень кукуріче!"
132,Хліб усьому голова.
132,"Як хліб буде, то й все буде."
132,"Як на току молотиться, то і в хаті не колотиться."
132,"Хліб на ноги ставить, хліб з ніг валить."
132,На вітер надіяться -- без мелива бути.
132,Зерно до зерна -- та й мірка повна.
132,"Де борошно, там і порошно."
133,"З гречки та проса --і каша, й паша."
133,З поганої трави -- погане й сіно.
133,"Яка трава, таке й сіно."
133,"Яка пшениця, така й паляниця. '"
133,"Яка яблунька, такі й яблука."
133,"Яка грушка, така й юшка."
133,"Яка прядка, така й нитка."
133,"Яка пряжа, таке й полотно ляже."
133,Кожному овочеві свій час.
133,"Аби цвіт, а ягідки будуть. і"
133,Не з кожного цвіточка ягідочка!
133,Терен груш не родить.
133,"Буряк -- не дурак: на дорозі не росте, а все на городі. . ""Пусти осот в огород -- огірків не буде."
134,"Не вродив мак -- пробудемо й так,"
134,Сади дерево ззамолоду --на старість як нахідка.
134,Корова в дворі -- харч на столі.
134,"Не рахуй овець в череді, а рахуй в загороді."
134,"Добра штука оті вівці: і кожух, і свита, і губа сита!"
134,"Сінним конем, а солом'яним волом не далеко заїдеш."
134,"Любиш поганяти, люби й коня годувати,"
134,"Їдь, кобило, хоч три дні не їла! |"
134,Даси коневі полови -- будеш робить поволі.
134,"Гладь коня вівсом, а не батогом."
134,На батозі далеко не поїдеш.
134,Сип коневі мішком - не ходитимеш піш.
134,"Хто коня годує, той дома ночує. !"
135,"В дорозі, у гостині пам'ятай о худобині."
135,"Пошануй худобу раз, а вона тебе десять раз пошанує. !"
135,"Добре тому в дорозі, хто сидить на возі."
135,"На те коня кують, щоб не спотикався,"
135,"Люблю Сивка за звичай: хоч крекче, та везе. -"
135,У доброго коня верстви не довгі.
135,"Немазаний віз скрипить, а мазаний сам 6біжить. !"
135,"Пожалієш ухналя, то й підкову згубиш,"
135,Пожалієш личка. не поможе й вірьовка!
135,Пропав. батіг - пропадай і пужално!
135,"Коли віл пропав, то пропадай ії ярмо!"
135,"Як снасть ламається -- то чоловік ума набирається, а як худоба пристає -- то чоловікові ума не стає."
